Epoch,Time(s),Loss,F1
00176,30.4372,0.0978,0.4035
00177,30.4332,0.0977,0.4115
00178,30.4372,0.0976,0.4094
00179,30.4358,0.0975,0.4203
00180,30.4353,0.0975,0.3990
00181,30.4664,0.0975,0.4289
00182,30.4672,0.0979,0.3589
00183,30.4667,0.1005,0.4572
00184,30.4662,0.1027,0.2655
00185,30.4645,0.1139,0.3682
00186,30.4641,0.1022,0.4573
00187,30.4635,0.1135,0.2338
00188,30.4623,0.1346,0.2324
00189,30.4620,0.1423,0.3587
00190,30.4604,0.1174,0.3683
00191,30.4633,0.1334,0.3446
00192,30.4617,0.1051,0.2848
00193,30.4604,0.1176,0.2924
00194,30.4597,0.1231,0.3069
00195,30.4845,0.1191,0.3144
00196,30.4820,0.1094,0.3266
00197,30.4810,0.1047,0.3380
00198,30.4792,0.1091,0.3172
00199,30.4771,0.1088,0.2993
00200,30.4761,0.1079,0.3110
00201,30.4741,0.1071,0.3443
00202,30.4723,0.1054,0.3748
00203,30.4711,0.1041,0.3894
00204,30.4692,0.1044,0.3878
00205,30.4676,0.1046,0.3750
00206,30.4649,0.1043,0.3710
00207,30.4645,0.1039,0.3759
00208,30.4633,0.1032,0.3881
00209,30.4831,0.1031,0.3916
00210,30.4802,0.1031,0.3869
00211,30.4793,0.1026,0.3773
00212,30.4776,0.1025,0.3721
00213,30.4760,0.1022,0.3770
00214,30.4735,0.1020,0.3802
00215,30.4703,0.1020,0.3725
00216,30.4688,0.1016,0.3740
00217,30.4670,0.1013,0.3829
00218,30.4651,0.1012,0.3870
00219,30.4647,0.1011,0.3826
00220,30.4609,0.1007,0.3795
00221,30.4589,0.1005,0.3856
00222,30.4568,0.1004,0.3873
00223,30.4839,0.1002,0.3856
00224,30.4817,0.1001,0.3895
00225,30.4804,0.1000,0.3932
00226,30.4791,0.0998,0.3882
00227,30.4760,0.0997,0.3864
00228,30.4737,0.0996,0.3905
00229,30.4730,0.0994,0.3914
00230,30.4715,0.0993,0.3903
00231,30.4690,0.0992,0.3952
00232,30.4673,0.0990,0.3963
00233,30.4651,0.0988,0.3923
00234,30.4628,0.0987,0.3977
00235,30.4606,0.0986,0.3964
00236,30.4588,0.0985,0.3999
00237,30.4908,0.0983,0.4016
00238,30.4960,0.0982,0.3999
00239,30.4953,0.0981,0.4024
00240,30.4946,0.0979,0.4017
00241,30.4938,0.0978,0.4062
00242,30.4926,0.0976,0.4057
00243,30.4921,0.0975,0.4083
00244,30.4910,0.0974,0.4043
00245,30.4899,0.0973,0.4162
00246,30.4896,0.0972,0.3945
00247,30.4889,0.0975,0.4319
00248,30.4881,0.0978,0.3808
00249,30.4873,0.0983,0.4152
00250,30.4865,0.0968,0.4357
00251,30.4896,0.0978,0.3756
00252,30.4910,0.0986,0.4074
00253,30.4903,0.0966,0.4472
00254,30.4917,0.0989,0.3783
00255,30.4913,0.0983,0.3880
00256,30.4915,0.0976,0.4465
00257,30.4916,0.0982,0.4197
00258,30.4919,0.0961,0.3883
00259,30.4920,0.0973,0.4162
00260,30.4924,0.0960,0.4440
00261,30.4928,0.0972,0.4036
00262,30.4932,0.0962,0.3996
00263,30.4926,0.0963,0.4394
00264,30.4919,0.0963,0.4212
00265,30.5074,0.0954,0.4056
00266,30.5109,0.0958,0.4319
00267,30.5098,0.0953,0.4308
00268,30.5095,0.0951,0.4108
00269,30.5094,0.0953,0.4321
